"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"994";"Allaire";56001;56;53;3727;4250;47,6347027148371;-2,18217798990781
"995";"Ambon";56002;56;53;1794;3785;47,5566609928551;-2,54471580900504
"996";"Arradon";56003;56;53;5514;1853;47,6287593323134;-2,82509625793224
"997";"Arzal";56004;56;53;1567;2551;47,5303914661881;-2,40551016611642
"998";"Arzon";56005;56;53;2108;994;47,5508970049482;-2,89372469603364
"999";"Augan";56006;56;53;1551;4121;47,909645307013;-2,27410453527557
"1000";"Auray";56007;56;53;12946;729;47,664965575833;-2,9887283790843
"1001";"Baden";56008;56;53;4346;2403;47,6034162243302;-2,91355808402114
"1002";"Bangor";56009;56;53;957;2610;47,3103233086773;-3,20309576885457
"1003";"Baud";56010;56;53;6126;4876;47,872553190916;-3,01900559734043
"1004";"Béganne";56011;56;53;1386;3557;47,6074206414348;-2,24905657761875
"1005";"Beignon";56012;56;53;1836;2497;47,9733976830577;-2,16916355539106
"1006";"Belz";56013;56;53;3580;1924;47,6699847077358;-3,15378605199768
"1007";"Berné";56014;56;53;1531;3517;47,986959210865;-3,38071177378791
"1008";"Berric";56015;56;53;1675;2150;47,6392225535865;-2,52259087909149
"1009";"Bieuzy";56016;56;53;760;1880;47,9949129310121;-3,04611675753255
"1010";"Bignan";56017;56;53;2770;4629;47,8754508998242;-2,75647441783143
"1011";"Billiers";56018;56;53;909;597;47,5235772378375;-2,4866387593368
"1012";"Billio";56019;56;53;377;1201;47,867020832466;-2,64432901168845
"1013";"Bohal";56020;56;53;794;847;47,7850444102768;-2,44703940992415
"1014";"Brandérion";56021;56;53;1439;605;47,7894313320261;-3,19118483719217
"1015";"Brandivy";56022;56;53;1266;2601;47,7776768907776;-2,9252235064136
"1016";"Brech";56023;56;53;6754;3991;47,7150475534597;-3,02370540510885
"1017";"Bréhan";56024;56;53;2330;5164;48,0687973615502;-2,68453518294597
"1018";"Brignac";56025;56;53;181;1326;48,1117768382097;-2,38868503009972
"1019";"Bubry";56026;56;53;2376;6914;47,9672880040748;-3,17759763635501
"1020";"Buléon";56027;56;53;503;1237;47,9253484087938;-2,67459125902212
"1021";"Caden";56028;56;53;1619;3823;47,6320489735342;-2,30970519875312
"1022";"Calan";56029;56;53;1087;1222;47,8843539718615;-3,30741003369467
"1023";"Camoël";56030;56;53;967;1475;47,4801589381142;-2,40478646168159
"1024";"Camors";56031;56;53;2954;3717;47,824381063556;-3,00723978424928
"1025";"Campénéac";56032;56;53;1917;6055;47,9594409934319;-2,27328496862318
"1026";"Carentoir";56033;56;53;2721;5914;47,8102900124846;-2,14692963676739
"1027";"Carnac";56034;56;53;4183;3359;47,600691163776;-3,06745162566965
"1028";"Caro";56035;56;53;1196;3814;47,8655981197724;-2,33742516119957
"1029";"Caudan";56036;56;53;6747;4306;47,8193838744032;-3,33142681910341
"1030";"Val d'Oust";56197;56;53;2621;3211;47,8716658529188;-2,42649515454492
"1031";"Chapelle-Gaceline";56038;56;53;792;771;47,7886775499078;-2,10158517332636
"1032";"Chapelle-Neuve";56039;56;53;882;2185;47,863346632185;-2,9399017557844
"1033";"Cléguer";56040;56;53;3319;3248;47,8667850075742;-3,36020620628145
"1034";"Cléguérec";56041;56;53;2912;6326;48,1247152355067;-3,05388969948698
"1035";"Colpo";56042;56;53;2265;2667;47,8161236876596;-2,80379833421743
"1036";"Concoret";56043;56;53;735;1584;48,0640619640502;-2,21049875092477
"1037";"Cournon";56044;56;53;781;1103;47,7474639243557;-2,09798082722693
"1038";"Cours";56045;56;53;628;1579;47,743911657799;-2,51012031861143
"1039";"Crach";56046;56;53;3294;3102;47,6302985680422;-2,9947488182665
"1040";"Crédin";56047;56;53;1514;3376;48,0369940963276;-2,76316957316157
"1041";"Croisty";56048;56;53;742;1602;48,0634563554136;-3,37234841997294
"1042";"Croixanvec";56049;56;53;157;611;48,1346788197618;-2,86708377914371
"1043";"Croix-Helléan";56050;56;53;872;1454;47,9640242030036;-2,5064922393767
"1044";"Cruguel";56051;56;53;633;1734;47,884472281504;-2,59410842584654
"1045";"Damgan";56052;56;53;1656;1015;47,5227872998298;-2,58552057861161
"1046";"Elven";56053;56;53;5609;6441;47,7310884877865;-2,59136717543188
"1047";"Erdeven";56054;56;53;3522;3086;47,6390041860937;-3,15141882821938
"1048";"Étel";56055;56;53;1994;238;47,6563555462594;-3,19505367396964
"1049";"Évriguet";56056;56;53;172;496;48,0828570632031;-2,40696399773288
"1050";"Faouët";56057;56;53;2822;3507;48,0521734892598;-3,50762979001639
"1051";"Férel";56058;56;53;3109;3013;47,4873789430043;-2,33437110323135
"1052";"Forges";56059;56;53;435;5303;48,0334586412453;-2,5767971864652
"1053";"Fougerêts";56060;56;53;951;2004;47,749305639742;-2,20144418363368
"1054";"Gacilly";56061;56;53;2205;1657;47,776304984056;-2,14606667631128
"1055";"Gâvres";56062;56;53;704;205;47,6946116958556;-3,34049266265914
"1056";"Gestel";56063;56;53;2701;620;47,8080595998919;-3,43693003956563
"1057";"Glénac";56064;56;53;886;1378;47,7392214372214;-2,13930703829842
"1058";"Gourhel";56065;56;53;635;283;47,9402382019421;-2,35761853959503
"1059";"Gourin";56066;56;53;4079;7515;48,1257616755115;-3,59977456511565
"1060";"Grand-Champ";56067;56;53;5165;6742;47,7550970360624;-2,84600782418074
"1061";"Grée-Saint-Laurent";56068;56;53;336;796;47,9994510434518;-2,49988321292741
"1062";"Groix";56069;56;53;2233;1484;47,6388209644294;-3,46775166081297
"1063";"Guégon";56070;56;53;2318;5350;47,9258485415227;-2,59835499797739
"1064";"Guéhenno";56071;56;53;797;2332;47,8858370748524;-2,65542547306876
"1065";"Gueltas";56072;56;53;508;2075;48,0882561191421;-2,81035343348391
"1066";"Guémené-sur-Scorff";56073;56;53;1131;117;48,0661815189823;-3,20774884136654
"1067";"Guénin";56074;56;53;1657;2891;47,9043657033745;-2,9646692859011
"1068";"Guer";56075;56;53;6310;5223;47,9088951910761;-2,12270011320076
"1069";"Guern";56076;56;53;1367;4713;48,0366099774616;-3,0960531291084
"1070";"Guerno";56077;56;53;908;970;47,5921381436148;-2,39633231163524
"1071";"Guidel";56078;56;53;10760;5387;47,8003596920516;-3,49224811790173
"1072";"Guillac";56079;56;53;1413;2200;47,9260561419792;-2,4742849696348
"1073";"Guilliers";56080;56;53;1396;3510;48,0495608929407;-2,41956381271292
"1074";"Guiscriff";56081;56;53;2301;8465;48,0386801966557;-3,62155568807808
"1075";"Helléan";56082;56;53;353;795;47,9714015352591;-2,47796863325541
"1076";"Hennebont";56083;56;53;15765;1912;47,8058186728819;-3,27710216767697
"1077";"Hézo";56084;56;53;759;482;47,582298071456;-2,69282078522415
"1078";"Hœdic";56085;56;53;119;212;47,3390604857459;-2,87347189636829
